,file,国名,評価年度,評価会社,評価者,プロジェクトコスト_計画時_int,プロジェクトコスト_実績_int,プロジェクト期間開始_計画時,プロジェクト期間終了_計画時,プロジェクト期間開始_実績,プロジェクト期間終了_実績,事前評価時_プロジェクト期間（月）,実績_プロジェクト期間（月）,妥当性評価,整合性評価,有効性評価,インパクト評価,効率性評価,効率性_コスト,効率性_期間,持続性評価,適応・貢献評価,付加価値・創造価値評価,総合評価,備考,事業形態,分野,案件名,連番,地域,地域詳細
10,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1826_4_f.pdf,(中東),2023,EY新日本有限責任監査法人,高木秀行,42900000000.0,11100000000.0,,,,,,,湾岸諸国を除く MENA 地域各国の若年層失業率は、事前事後ともに高い水準で推移しており、MENA 地域各国では、民間投資促進を通じた雇用機会の拡大を促進する政策を打ち出している。本事業の実施は、MENA 地域における民間投資促進を通じた雇用機会拡大に係る政策及び開発ニーズと合致している。,本事業の実施は、MENA の格差是正、安定化に向けた審査時の日本政府及び JICA の開発協力方針と整合していた。本事業の実施において、事業効果の発現に資する JICA の他事業あるいは他ドナーとの具体的な連携はなかったものの、IFC が各国で行う支援において、WB グループならびに ILO との協力関係のもと、雇用創出の取り組みが行われている。COVID-19 パンデミック、貿易摩擦、保護主義などの世界的要因の影響を受け、海外直接投資の流入が抑制される状況にあったエジプトの企業へ投資が行われたことは、海外投融資による支援として有意義であった。,サブプロジェクト実施による雇用創出効果は限定的であるが、ディーセント・ワーク推進の観点から一定の効果があり、投資先企業の事業活動を通じて地域経済の活性化等においても一定の貢献がなされている。,本事業の主なサブプロジェクトが実施された ODA 適格国・地域がエジプトであることから、本事後評価ではインパクトの評価の対象をエジプトとした。インパクトの評価判断にあたり、本ファンドの投資額は MENA 地域の海外直接投資全体との比率として大きくはないことを考慮し、正の影響が確認できた場合にプラス要素とすることを評価方針としている。本事業は、ファンドへの出資金額を考慮すると投資規模が限られたものであり、対象地域の経済社会の安定化につながるような経済・政策面のインパクトとして特筆すべきものはない。,本ファンドへの出資金のコミットメント額が目標を下回ったこと及び、対象地域で生じたマクロ要因の影響を受け投資展開のペースが鈍化したことにより、投資された資本の額はコミットメント額を大幅に下回ったため、投資額に対して費用の割合が高い結果となった。,26.0,,持続性は、各サブプロジェクトの持続性に必要となる政策・制度は維持されており、投資先企業の組織・体制、技術、財務面に問題はなく、確保されている。環境社会配慮面、リスクについても予防策が講じられている。ファンドマネージャーの持続性に関しても、投資期間の運営体制に問題はなく、回収期間へ移行後も、ファンドチームの組織体制や制度は、適切な運営が行われるよう維持されている。,,,,,有償,その他,中東・北アフリカ支援ファンド,1,アジア,
11,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0602727_4_f.pdf,(大洋州),2012,EY 新日本サステナビリティ株式会社,西川圭輔,650000000.0,649960000.0,2005-02-01,2010-02-09,2005-03-01,2010-02-01,60.0,60.0,高い,,中程度,中程度,高い,,98.0,中程度,,,高い,,技協,基礎保健,大洋州地域予防接種事業強化プロジェクト,1,大洋州,
12,https://www2.jica.go.jp/ja/evaluation/pdf/2019_0800430_4_f.pdf,(大洋州),2019,フィジー事務所及びソロモン諸島支所,,300000000.0,333000000.0,2010-10-01,2013-09-01,2010-10-01,2013-09-01,36.0,36.0,高い,,中程度,中程度,中程度,111.0,100.0,中程度,,,一部課題がある,,技協,河川・砂防,大洋州地域コミュニティ防災能力強化プロジェクト,1,大洋州,
13,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1000391_4_f.pdf,(大洋州),2019,"株式会社日本経済研究所, EY 新日本有限責任監査法人","西川圭輔, 高橋久恵, 織本厚子",800000000.0,1086000000.0,2011-01-01,2016-10-01,2011-01-01,2016-10-01,61.0,70.0,高い,高い,高い,高い,中程度,136.0,100.0,中程度,,,高い,,技協,環境問題,大洋州地域廃棄物管理改善支援プロジェクト（J-PRISM）,1,大洋州,
14,https://www2.jica.go.jp/ja/evaluation/pdf/2019_AZB-P3_4_f.pdf,アゼルバイジャン,2019,EY 新日本有限責任監査法人,高橋久恵,35191000000.0,55748000000.0,2005-03-01,2011-05-17,2005-05-01,2021-09-01,75.0,197.0,高い,,高い,高い,低い,182.0,263.0,高い,,,高い,,有償,電力,シマル・ガス火力複合発電所2号機建設事業,1,アジア,西アジア
15,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0604400_4_f.pdf,アゼルバイジャン,2011,ウズベキスタン事務所,,880000000.0,850000000.0,2006-05-01,2008-01-26,2006-05-01,2008-01-01,22.0,21.0,高い,,高い,高い,高い,97.0,96.0,中程度,,,非常に高い,,無償,電力,バクー市ムシュビク変電所改修計画,1,アジア,西アジア
16,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0715200_4_f.pdf,アゼルバイジャン,2014,ウズベキスタン事務所,,222000000.0,217000000.0,2008-03-05,2009-05-30,2008-03-05,2009-03-10,15.0,12.0,高い,,中程度,中程度,高い,98.0,82.0,中程度,,,高い,,無償,保健・医療,バクー市緊急医療機材整備計画,1,アジア,西アジア
17,https://www2.jica.go.jp/ja/evaluation/pdf/2017_1261230_4_f.pdf,アゼルバイジャン,2017,ジョージア支所,,777000000.0,723000000.0,2013-04-17,2014-09-18,2013-04-17,2014-08-18,17.0,16.0,高い,,高い,高い,高い,93.0,94.0,高い,,,非常に高い,,無償,農業土木,第二次土地改良・灌漑機材整備計画,1,アジア,西アジア
18,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0603849_4_f.pdf,アフガニスタン,2016,三菱 UFJリサーチ&コンサルティング株式会社,渡邉恵子,789000000.0,736000000.0,2004-06-01,2009-06-06,2005-01-01,2009-06-01,61.0,54.0,高い,,高い,高い,高い,93.0,88.0,評価不能,,,,,技協,総合地域開発計画,カンダハル帰還民社会復帰・コミュニティ開発支援計画プロジェクト,1,アジア,南アジア
19,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0504900_4_f.pdf,アフガニスタン,2015,三菱UFJリサーチ&コンサルティング株式会社,島村真澄,1699000000.0,1575000000.0,2004-07-01,2006-10-19,2004-09-13,2007-03-01,30.0,30.0,高い,,高い,高い,中程度,131.0,100.0,中程度,,,高い,治安状況により事業完了後約10年後に事後評価が実施された。,無償,教育,学校建設計画,1,アジア,南アジア
20,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0501000_4_f.pdf,アフガニスタン,2011,株式会社ティー・アソーシエイト,大根田洋祐,3000000000.0,2876000000.0,2004-08-01,2007-06-25,2004-08-01,2008-08-01,35.0,48.0,高い,高い,高い,高い,中程度,96.0,138.0,中程度,,,高い,,無償,航空・空港,カブール国際空港ターミナル建設計画,1,アジア,南アジア
21,https://www2.jica.go.jp/ja/evaluation/pdf/2020_0900816_4_f.pdf,アフガニスタン,2020,アフガニスタン事務所,,850000000.0,882000000.0,2004-09-01,2009-09-01,2010-05-01,2015-05-01,61.0,61.0,高い,,中程度,中程度,中程度,104.0,100.0,中程度,,,一部課題がある,,技協,保健・医療,リプロダクティブヘルスプロジェクトフェーズ2,1,アジア,南アジア
22,https://www2.jica.go.jp/ja/evaluation/pdf/2019_0900819_4_f.pdf,アフガニスタン,2019,タック・インターナショナル,西野真理,955000000.0,1350000000.0,2004-09-01,2009-09-01,2009-10-01,2015-09-01,60.0,132.0,高い,,中程度,中程度,中程度,123.0,100.0,高い,,,高い,,技協,保健・医療,結核対策プロジェクトフェーズ2,1,アジア,南アジア
23,https://www2.jica.go.jp/ja/evaluation/pdf/2019_0603845_4_f.pdf,アフガニスタン,2019,アフガニスタン事務所,,500000000.0,448000000.0,2005-02-01,2008-02-01,2005-02-01,2008-02-01,36.0,36.0,高い,,中程度,中程度,高い,90.0,100.0,中程度,,,高い,,技協,行政一般,女性の経済的エンパワーメント支援プロジェクト,1,アジア,南アジア
24,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0613805_4_f.pdf,アフガニスタン,2016,三菱 UFJ リサーチ&コンサルティング株式会社,島村真澄,890000000.0,1140000000.0,2005-06-01,2007-08-01,2007-09-01,2010-12-01,63.0,67.0,高い,,,,中程度,101.0,100.0,中程度,,,,,技協,教育,教師教育強化プロジェクト フェーズ2,1,アジア,南アジア
25,https://www2.jica.go.jp/ja/evaluation/pdf/2018_0603850_4_f.pdf,アフガニスタン,2018,アフガニスタン事務所,,700000000.0,951000000.0,2005-07-01,2010-07-05,2005-07-01,2011-03-01,60.0,69.0,高い,,高い,高い,中程度,136.0,113.0,中程度,,,高い,,技協,農業一般,国立農業試験場再建計画プロジェクト,1,アジア,南アジア
26,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0603847_4_f.pdf,アフガニスタン,2015,三菱 UFJリサーチ&コンサルティング株式会社,渡邉恵子,780000000.0,1026000000.0,2005-12-01,2009-05-05,2005-12-01,2010-10-01,39.0,55.0,高い,,高い,高い,中程度,131.0,141.0,高い,,,非常に高い,,技協,総合地域開発計画,地方開発支援プロジェクト,1,アジア,南アジア
27,https://www2.jica.go.jp/ja/evaluation/pdf/2018_0613471_4_f.pdf,アフガニスタン,2018,アフガニスタン事務所,,300000000.0,318000000.0,2007-09-01,2011-03-01,2007-09-01,2011-03-01,43.0,43.0,高い,,高い,高い,中程度,106.0,100.0,中程度,,,高い,,技協,農業一般,ナンガルハール稲作農業改善プロジェクト,1,アジア,南アジア
28,https://www2.jica.go.jp/ja/evaluation/pdf/2020_0701824_4_f.pdf,アフガニスタン,2020,アフガニスタン事務所,,300000000.0,541000000.0,2008-03-01,2011-02-28,2008-03-01,2012-01-01,35.0,47.0,高い,,高い,高い,低い,180.0,128.0,中程度,,,一部課題がある,,技協,道路,道路維持管理システムの構築及び人材育成プロジェクト,1,アジア,南アジア
29,https://www2.jica.go.jp/ja/evaluation/pdf/2019_0900817_4_f.pdf,アフガニスタン,2019,アフガニスタン事務所,,380000000.0,387000000.0,2009-12-01,2012-12-01,2009-12-01,2012-12-01,37.0,37.0,高い,,中程度,中程度,中程度,102.0,100.0,中程度,,,一部課題がある,,技協,保健・医療,都市型保健システム強化プロジェクト,1,アジア,南アジア
30,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0961530_4_f.pdf,アフガニスタン,2015,アフガニスタン事務所,,700000000.0,700000000.0,2010-03-22,2011-10-06,2010-03-22,2012-05-07,19.0,26.0,高い,高い,高い,高い,中程度,100.0,138.0,中程度,,,高い,【維持管理状況】太陽光システムによる発電電力量を表示するディスプレイ・モニターは、日本の援助により整備された太陽光発電に対する国民の意識啓発を行うため、ハミド・カルザイ国際空港のメインロビーに設置されたが、損傷しており稼働していない。,無償,新・再生エネルギー,太陽光を活用したクリーンエネルギー導入計画,1,アジア,南アジア
31,https://www2.jica.go.jp/ja/evaluation/pdf/2019_0900825_4_f.pdf,アフガニスタン,2019,株式会社タック・インターナショナル,鶴田浩史,1500000000.0,1000000000.0,2010-07-01,2014-12-30,2010-07-01,2013-07-01,60.0,36.0,高い,,中程度,中程度,高い,66.7,66.7,中程度,,,高い,,技協,社会基盤一般,ナンガルハール州帰還民支援プロジェクト,1,アジア,南アジア
32,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1060590_4_f.pdf,アフガニスタン,2019,タック・インターナショナル,西野真理,2643000000.0,2424000000.0,2010-12-01,2012-10-06,2011-02-01,2013-08-01,23.0,31.0,高い,,高い,高い,中程度,92.0,135.0,中程度,,,高い,,無償,保健・医療,感染症病院建設計画,1,アジア,南アジア
33,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1000515_4_f.pdf,アフガニスタン,2020,アフガニスタン事務所,,240000000.0,313000000.0,2011-08-01,2013-01-07,2011-08-01,2013-08-01,18.0,25.0,高い,,中程度,中程度,中程度,130.0,139.0,中程度,,,一部課題がある,,技協,開発計画一般,農村コミュニティ社会経済活性化プロジェクト,1,アジア,南アジア
34,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1260590_4_f.pdf,アフガニスタン,2019,株式会社タック・インターナショナル,鶴田浩史,1076000000.0,1076000000.0,2013-10-01,2015-12-06,2013-10-01,2016-07-01,27.0,34.0,高い,,高い,高い,中程度,100.0,126.0,中程度,,,高い,,無償,社会基盤一般,ナンガルハール農村インフラ改善計画,1,アジア,南アジア
35,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0603846_4_f.pdf,アフガニスタン,2014,アフガニスタン事務所,,,,,,2006-05-01,2009-06-01,,67.0,高い,,中程度,中程度,中程度,73.0,125.0,中程度,,,一部課題がある,協力金額545百万円はステージ1と2の合計値であり、各ステージの金額が不明なため実績コストはN/Aとしています。,技協,職業訓練,基礎職業訓練プロジェクト（旧:除隊兵士の社会復帰のための基礎訓練プロジェクト）,1,アジア,南アジア
36,https://www2.jica.go.jp/ja/evaluation/pdf/2015_BAD-P3_4_f.pdf,アフリカ開発銀行,2015,アイ・シー・ネット株式会社,庄智之/荻本洋子/笹尾隆二郎,52040000000.0,51991000000.0,2007-02-01,2009-02-20,2011-10-01,2013-10-01,51.0,65.0,高い,,高い,高い,高い,99.9,81.0,中程度,,,非常に高い,,有償,その他,アフリカの民間セクター開発のための共同イニシアティブの下での民間セクター支援融資（III）,1,アフリカ,
37,https://www2.jica.go.jp/ja/evaluation/pdf/2012_AL-P8_4_f.pdf,アルジェリア,2012,早稲田大学,大門毅,2128000000.0,3180000000.0,2004-12-01,2008-04-21,2005-06-01,2011-08-01,41.0,75.0,高い,,高い,高い,低い,149.0,182.0,高い,,,高い,,有償,教育,教育セクター震災復興事業,1,アフリカ,北アフリカ
38,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0604322_4_f.pdf,アルジェリア,2012,中東・欧州部,,200000000.0,260000000.0,2005-12-01,2008-11-01,2005-12-01,2008-11-01,36.0,36.0,高い,,高い,高い,中程度,130.0,100.0,中程度,,,高い,,技協,環境問題,アルジェリア環境モニタリングキャパシティ・ディベロップメントプロジェクト,1,アフリカ,北アフリカ
39,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0607900_4_f.pdf,アルジェリア,2012,中東・欧州部,,594000000.0,590000000.0,2006-03-01,2007-09-13,2006-03-01,2008-02-01,19.0,24.0,高い,,中程度,中程度,中程度,99.0,125.0,高い,,,高い,,無償,水産,漁業養殖技術学院訓練機材整備計画,1,アフリカ,北アフリカ
40,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1000526_4_f.pdf,アルジェリア,2020,チュニジア事務所,,309000000.0,338000000.0,2010-11-01,2015-12-01,2010-11-01,2015-12-01,62.0,62.0,高い,,高い,高い,中程度,125.0,100.0,高い,,,非常に高い,,技協,新・再生エネルギー,サハラを起点とするソーラーブリーダー研究開発,1,アフリカ,北アフリカ
41,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0603305_4_f.pdf,アルゼンチン,2011,アルゼンチン事務所,,411267605.6338028,584000000.0,2001-03-01,2005-02-01,2001-03-01,2005-02-01,48.0,48.0,高い,,高い,高い,中程度,142.0,100.0,高い,,,非常に高い,,技協,鉱業,先進的地質リモートセンシング,1,中南米,南アメリカ
42,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0603318_4_f.pdf,アルゼンチン,2011,アルゼンチン事務所,,250458715.59633023,273000000.0,2004-04-01,2007-03-01,2004-04-01,2007-03-01,36.0,36.0,高い,,高い,高い,中程度,109.0,100.0,中程度,,,高い,,技協,林業・森林保全,イグアス地域自然環境保全計画プロジェクト,1,中南米,南アメリカ
43,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1200538_4_f.pdf,アルゼンチン,2021,株式会社グローバル・グループ 21 ジャパン,薗田元,340000000.0,341000000.0,2013-04-01,2018-03-01,2013-04-01,2018-03-01,60.0,60.0,高い,やや低い,やや低い,やや低い,やや低い,100.0,100.0,やや低い,該当なし,特になし,一部課題がある,プロジェクト目標は部分的に達成。大気環境リスク管理システムのうち、Geo Aerosolは未完成。,技協,環境問題,南米における大気環境リスク管理システムの開発プロジェクト,1,中南米,南アメリカ
44,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0961050_4_f.pdf,アルバニア,2014,バルカン事務所,,718000000.0,507000000.0,2009-12-01,2011-11-18,2009-12-01,2012-05-01,24.0,29.0,高い,,中程度,中程度,中程度,71.0,123.0,中程度,,,一部課題がある,,無償,保健・医療,救急医療機材改善計画,1,欧州,南ヨーロッパ
45,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1200072_4_f.pdf,アルバニア,2020,バルカン事務所,,250000000.0,252000000.0,2014-05-01,2017-05-01,2014-05-01,2017-05-01,36.0,36.0,高い,,中程度,中程度,中程度,101.0,100.0,中程度,,,一部課題がある,,技協,環境問題,廃棄物量削減・3R促進支援プロジェクト,1,欧州,南ヨーロッパ
46,https://www2.jica.go.jp/ja/evaluation/pdf/2016_1000689_4_f.pdf,アルバニア,2016,バルカン事務所,,210000000.0,203000000.0,,,2011-06-01,2013-01-01,,20.0,高い,,高い,高い,中程度,97.0,118.0,中程度,,,高い,,技協,開発計画一般,ティラナ市都市インフラ近代化プロジェクト,1,欧州,南ヨーロッパ
47,https://www2.jica.go.jp/ja/evaluation/pdf/2012_ARM-P1_4_f.pdf,アルメニア,2012,三州技術コンサルタント株式会社,川畑安弘,5838000000.0,5368000000.0,1999-02-01,2003-12-19,1999-02-01,2010-10-01,59.0,141.0,高い,,高い,高い,中程度,92.0,239.0,中程度,,,高い,,有償,電力,送配電網整備事業,1,欧州,南ヨーロッパ
48,https://www2.jica.go.jp/ja/evaluation/pdf/2015_ARM-P2_4_f.pdf,アルメニア,2015,オクタヴィアジャパン株式会社,稲澤健一,38444000000.0,33720000000.0,2005-03-01,2012-04-27,2005-03-01,2012-04-01,87.0,86.0,高い,,中程度,中程度,高い,88.0,99.0,高い,,,非常に高い,,有償,電力,エレバン・コジェネレーション火力複合発電所建設事業,1,欧州,南ヨーロッパ
49,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0867940_4_f.pdf,アルメニア,2013,Value Frontier 株式会社,石森康一郎,881000000.0,781000000.0,2009-02-01,2010-11-01,2009-02-01,2010-08-01,22.0,19.0,高い,,高い,高い,高い,89.0,,高い,,,非常に高い,,無償,公益事業一般,エレバン市消防機材整備計画,1,欧州,南ヨーロッパ
50,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1200401_4_f.pdf,アルメニア,2018,ウズベキスタン事務所,,200000000.0,222000000.0,2013-03-01,2016-02-01,2013-03-01,2016-02-01,36.0,36.0,高い,,高い,高い,中程度,111.0,100.0,中程度,,,高い,,技協,貿易,地方産品と地方ブランドの開発プロジェクト,1,欧州,南ヨーロッパ
51,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1300669_4_f.pdf,アルメニア,2020,ジョージア支所,,349000000.0,341000000.0,2014-07-01,2017-07-01,2014-06-01,2017-06-01,36.0,36.0,高い,,中程度,中程度,高い,98.0,100.0,中程度,,,高い,,技協,河川・砂防,地すべり災害対策プロジェクト,1,欧州,南ヨーロッパ
52,https://www2.jica.go.jp/ja/evaluation/pdf/2022_1502665_4_f.pdf,アルメニア,2022,ジョージア支所,,260000000.0,249000000.0,2016-07-01,2019-07-01,2016-07-01,2019-07-01,36.0,36.0,高い,高い,やや低い,やや低い,非常に高い,96.0,100.0,高い,JICA ジョージア支所は、本事業で発行された「アルメニアのB&B リスト」の最新版パンフレットの印刷に若干の予算を提供した。,JICA ジョージア事務所は、JICA 一村一品技術協力プロジェクトの成功事例から学び、JICA 専門家の助言を得るため、2023年10月にキルギスタンへのスタディツアーを開催した。参加者は、マーケティング、プロモーション、中小企業開発の分野で活躍し、貢献しているジョージア人とアルメニア人計6名であった。,高い,,技協,貿易,地方産品と地方ブランドの開発プロジェクトフェーズ2,1,欧州,南ヨーロッパ
53,https://www2.jica.go.jp/ja/evaluation/pdf/2022_1760250_4_f.pdf,アルメニア,2022,オクタヴィアジャパン株式会社,稲澤健一,1540000000.0,1524000000.0,2017-09-01,2019-06-06,2017-09-01,2019-11-01,22.0,27.0,非常に高い,非常に高い,非常に高い,非常に高い,高い,99.0,123.0,非常に高い,本事業ではコンサルティング・サービスの一環として、消防車メーカーによる初期操作指導、消防車とはしご車の運用技術、消防・救助活動に係る運用指導、消防車及びはしご車を活用した消防・救助活動に係るマニュアルの改訂等を柱とするソフトコンポーネント研修が実施された。ロリ地方、シラク地方、シュニク地方の消防署にとっては日本製の車両導入は初めてであったため、その運用や維持管理を円滑に行うためには必要な研修であった。これは、事業環境への適合を目指した対応といえ、実施機関への必要なサポートが行われたといえる。,特になし。,非常に高い,,無償,行政一般、都市計画・土地造成,消防機材整備計画,1,欧州,南ヨーロッパ
54,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0515000_4_f.pdf,アンゴラ,2014,株式会社タックインターナショナル,芹澤明美,443000000.0,418000000.0,2005-04-01,2006-04-01,2006-04-01,2007-08-01,13.0,30.0,高い,,高い,測定不能,中程度,91.0,100.0,評価対象外,,,高い,,無償,保健・医療,マラリア対策計画（第2期）,1,アフリカ,南部アフリカ
55,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0604900_4_f.pdf,アンゴラ,2010,南アフリカ共和国事務所(アンゴラフィールドオフィス),,432000000.0,344000000.0,2006-07-01,2007-10-08,2006-07-01,2008-03-01,15.0,21.0,高い,,中程度,中程度,中程度,80.0,131.0,高い,,,高い,,無償,水資源開発,ルアンダ近郊諸州緊急地方給水計画,1,アフリカ,南部アフリカ
56,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0800700_4_f.pdf,アンゴラ,2013,株式会社日本経済研究所,川畑雅之,3932000000.0,1932000000.0,2008-05-01,2010-03-08,2008-05-01,2010-07-01,23.0,27.0,高い,,高い,高い,中程度,88.0,117.0,中程度,,,高い,,無償,港湾,緊急港湾改修計画,1,アフリカ,南部アフリカ
57,https://www2.jica.go.jp/ja/evaluation/pdf/2016_1161050_4_f.pdf,アンゴラ,2016,南アフリカ事務所,,1064000000.0,965900000.0,2010-08-30,2012-04-22,2011-12-01,2013-08-30,34.0,51.0,高い,,中程度,中程度,中程度,92.0,152.0,中程度,,,一部課題がある,この事後評価は、①ヴィアナ職業訓練センター整備計画及び②ヴィアナ職業訓練センター機材整備計画の2事業を対象としており、評価の多くは2事業をまとめて行われている。,無償,職業訓練,ヴィアナ職業訓練センター機材整備計画,1,アフリカ,南部アフリカ
