,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,プロジェクト期,国名,評価年度,評価会社,評価者,プロジェクトコスト_計画時,プロジェクトコスト_実績,プロジェクトコスト_被援助国負担額,プロジェクトコスト_計画時_int,プロジェクトコスト_実績_int,プロジェクトコスト_被援助国負担額_int,プロジェクト期間開始_計画時,プロジェクト期間終了_計画時,プロジェクト期間開始_実績,プロジェクト期間終了_実績,事前評価時_プロジェクト期間（月）,実績_プロジェクト期間（月）,妥当性評価,整合性評価,有効性評価,インパクト評価,効率性評価,効率性_コスト,効率性_期間,持続性評価,適応・貢献評価,付加価値・創造価値評価,総合評価,備考,file,事業形態,分野,案件名,left_4,連番
632,632,632.0,632.0,1,(大洋州),2019,フィジー事務所及びソロモン諸島支所,,300百万円,333百万円,,300000000,333000000,,2010年10月,2013年9月,2010年10月,2013年9月,36,36,高い,,中程度,中程度,中程度,111%,100%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_0800430_4_f.pdf,技協,河川・砂防,大洋州地域コミュニティ防災能力強化プロジェクト,大洋州地,1
633,633,633.0,633.0,1,(大洋州),2019,"株式会社日本経済研究所, EY 新日本有限責任監査法人","西川圭輔, 高橋久恵, 織本厚子",800百万円,1086百万円,467万米ドル（約562百万円）,800000000,1086000000,562000000,2011年1月,2016年1月,2011年1月,2016年10月,61,70,高い,高い,高い,高い,中程度,136%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1000391_4_f.pdf,技協,環境問題,大洋州地域廃棄物管理改善支援プロジェクト（J-PRISM）,大洋州地,1
2153,2153,2153.0,2153.0,1,アゼルバイジャン,2011,ウズベキスタン事務所,,880百万円,850百万円,,880000000,850000000,,2006年5月,2008年2月,2006年5月,2008年1月,22,21,高い,,高い,高い,高い,97%,96%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0604400_4_f.pdf,無償,電力,バクー市ムシュビク変電所改修計画,バクー市,1
2152,2152,2152.0,2152.0,1,アゼルバイジャン,2014,ウズベキスタン事務所,,222百万円,217百万円,,222000000,217000000,,2008年3月5日,,2008年3月5日,2009年3月10日,15,12,高い,,中程度,中程度,高い,98%,82%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0715200_4_f.pdf,無償,保健・医療,バクー市緊急医療機材整備計画,バクー市,1
2151,2151,2151.0,2151.0,2,アゼルバイジャン,2017,ジョージア支所,,777百万円,723百万円,,777000000,723000000,,2013年4月17日,,2013年4月17日,2014年8月18日,,16,高い,,高い,高い,高い,93%,94%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2017_1261230_4_f.pdf,無償,農業土木,第二次土地改良・灌漑機材整備計画,第二次土,1
1247,1247,1247.0,1247.0,1,アゼルバイジャン,2019,EY 新日本有限責任監査法人,高橋久恵,"35,191百万円","55,748百万円","26,915百万円",35191000000,55748000000,26915000000,2005年3月,2011年6月,2005年5月,2021年9月,75,197,高い,,高い,高い,低い,182%,263%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_AZB-P3_4_f.pdf,有償,電力,シマル・ガス火力複合発電所2号機建設事業,シマル・,1
2157,2157,2157.0,2157.0,1,アフガニスタン,2011,株式会社ティー・アソーシエイト,大根田洋祐,3000百万円,2876百万円,,3000000000,2876000000,,2004年8月,2007年6月,2004年8月,2008年8月,35,48.5,高い,高い,高い,高い,中程度,96%,138%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0501000_4_f.pdf,無償,航空・空港,カブール国際空港ターミナル建設計画,カブール,1
27,27,27.0,27.0,1,アフガニスタン,2014,アフガニスタン事務所,,,,,,,,,,2004年1月,2006年5月,,29,高い,,中程度,中程度,中程度,73%,125%,中程度,,,一部課題がある,協力金額545百万円はステージ1と2の合計値であり、各ステージの金額が不明なため実績コストはN/Aとしています。,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0603846_4_f.pdf,技協,職業訓練,基礎職業訓練プロジェクト（旧:除隊兵士の社会復帰のための基礎訓練プロジェクト）,基礎職業,2
28,28,28.0,28.0,2,アフガニスタン,2014,アフガニスタン事務所,,,,"258,159US ドル",,,38723850,,,2006年5月,2009年6月,,38,高い,,中程度,中程度,中程度,73%,125%,中程度,,,一部課題がある,協力金額545百万円はステージ1と2の合計値であり、各ステージの金額が不明なため実績コストはN/Aとしています。,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0603846_4_f.pdf,技協,職業訓練,基礎職業訓練プロジェクト（旧:除隊兵士の社会復帰のための基礎訓練プロジェクト）,基礎職業,1
2158,2158,2158.0,2158.0,1,アフガニスタン,2015,三菱UFJリサーチ&コンサルティング株式会社,島村真澄,677百万円,676百万円,,677000000,676000000,,2004年7月,,2004年9月13日,2007年1月,30,30,高い,,高い,高い,中程度,131%,100%,中程度,,,高い,治安状況により事業完了後約10年後に事後評価が実施された。,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0504900_4_f.pdf,無償,教育,学校建設計画,学校建設,2
2159,2159,2159.0,2159.0,2,アフガニスタン,2015,三菱UFJリサーチ&コンサルティング株式会社,島村真澄,"1,022百万円",899百万円,,1022000000,899000000,,2005年7月,,,2007年3月,30,30,高い,,高い,高い,中程度,131%,100%,中程度,,,高い,治安状況により事業完了後約10年後に事後評価が実施された。,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0504900_4_f.pdf,無償,教育,学校建設計画,学校建設,1
19,19,19.0,19.0,1,アフガニスタン,2015,三菱 UFJリサーチ&コンサルティング株式会社,渡邉恵子,780百万円,"1,026百万円",,780000000,1026000000,,2005年12月,2009年2月,2005年12月,2010年10月,39,55,高い,,高い,高い,中程度,131%,141%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0603847_4_f.pdf,技協,総合地域開発計画,地方開発支援プロジェクト,地方開発,1
2156,2156,2156.0,2156.0,1,アフガニスタン,2015,アフガニスタン事務所,,700百万円,700百万円,,700000000,700000000,,2010年3月22日,,2010年3月22日,2012年5月7日,19,26,高い,高い,高い,高い,中程度,100%,138%,中程度,,,高い,【維持管理状況】太陽光システムによる発電電力量を表示するディスプレイ・モニターは、日本の援助により整備された太陽光発電に対する国民の意識啓発を行うため、ハミド・カルザイ国際空港のメインロビーに設置されたが、損傷しており稼働していない。,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0961530_4_f.pdf,無償,新・再生エネルギー,太陽光を活用したクリーンエネルギー導入計画,太陽光を,1
20,20,20.0,20.0,1,アフガニスタン,2016,三菱 UFJ リサーチ&コンサルティング株式会社,島村真澄,450百万円,456百万円,,450000000,456000000,,2005年6月,2007年8月,2005年6月,2007年8月,27,27,高い,高い,,,中程度,101%,100%,中程度,,,,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0603844_4_f.pdf,技協,教育,教師教育強化（STEP）プロジェクト,教師教育,4
21,21,21.0,21.0,2,アフガニスタン,2016,三菱 UFJ リサーチ&コンサルティング株式会社,島村真澄,494百万円,684百万円,,494000000,684000000,,2007年9月,2010年8月,2007年9月,2010年12月,36,40,高い,高い,,,中程度,138%,111%,中程度,,,,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0603844_4_f.pdf,技協,教育,教師教育強化（STEP）プロジェクト,教師教育,3
17,17,17.0,17.0,1,アフガニスタン,2016,三菱 UFJリサーチ&コンサルティング株式会社,渡邉恵子,789百万円,736百万円,,789000000,736000000,,2004年6月,2009年6月,2005年1月,2009年6月,61,54,高い,,高い,高い,高い,93%,88%,評価不能,,,,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0603849_4_f.pdf,技協,総合地域開発計画,カンダハル帰還民社会復帰・コミュニティ開発支援計画プロジェクト,カンダハ,1
14,14,14.0,14.0,1,アフガニスタン,2016,三菱 UFJ リサーチ&コンサルティング株式会社,島村真澄,約450百万円,456百万円,,450000000,456000000,,2005年6月,2007年8月,2005年6月,2007年8月,27,27,高い,,,,中程度,101%,100%,中程度,,,,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0613805_4_f.pdf,技協,教育,教師教育強化プロジェクト フェーズ2,教師教育,2
15,15,15.0,15.0,2,アフガニスタン,2016,三菱 UFJ リサーチ&コンサルティング株式会社,島村真澄,約440百万円,684百万円,,440000000,684000000,,2007年9月,2010年8月,2007年9月,2010年12月,36,40,高い,,,,中程度,138%,111%,中程度,,,,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0613805_4_f.pdf,技協,教育,教師教育強化プロジェクト フェーズ2,教師教育,1
18,18,18.0,18.0,1,アフガニスタン,2018,アフガニスタン事務所,,700百万円,951百万円,,700000000,951000000,,2005年7月,2010年6月,2005年7月,2011年3月,60,69,高い,,高い,高い,中程度,136%,113%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2018_0603850_4_f.pdf,技協,農業一般,国立農業試験場再建計画プロジェクト,国立農業,1
13,13,13.0,13.0,1,アフガニスタン,2018,アフガニスタン事務所,,300百万円,318百万円,,300000000,318000000,,2007年9月,2011年3月,2007年9月,2011年3月,43,43,高い,,高い,高い,中程度,106%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2018_0613471_4_f.pdf,技協,農業一般,ナンガルハール稲作農業改善プロジェクト,ナンガル,1
25,25,25.0,25.0,1,アフガニスタン,2019,タック・インターナショナル,西野真理,581百万円,715百万円,,581000000,715000000,,2004年9月,2009年9月,2004年9月,2009年9月,60,60,高い,,中程度,中程度,中程度,123%,100%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_0603827_4_f.pdf,技協,保健・医療,結核対策プロジェクト,結核対策,4
26,26,26.0,26.0,2,アフガニスタン,2019,タック・インターナショナル,西野真理,374百万円,635百万円,,374000000,635000000,,2009年10月,2014年9月,2009年10月,2015年9月,60,72,高い,,中程度,中程度,中程度,170%,120%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_0603827_4_f.pdf,技協,保健・医療,結核対策プロジェクト,結核対策,3
24,24,24.0,24.0,1,アフガニスタン,2019,アフガニスタン事務所,,500百万円,448百万円,執務スペースの光熱費,500000000,448000000,,2005年2月,2008年2月,2005年2月,2008年2月,36,36,高い,,中程度,中程度,高い,90%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_0603845_4_f.pdf,技協,行政一般,女性の経済的エンパワーメント支援プロジェクト,女性の経,1
12,12,12.0,12.0,1,アフガニスタン,2019,アフガニスタン事務所,,380百万円,387百万円,,380000000,387000000,,2009年12月,2012年12月,2009年12月,2012年12月,37,37,高い,,中程度,中程度,中程度,102%,100%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_0900817_4_f.pdf,技協,保健・医療,都市型保健システム強化プロジェクト,都市型保,1
10,10,10.0,10.0,1,アフガニスタン,2019,タック・インターナショナル,西野真理,581百万円,715百万円,,581000000,715000000,,2004年9月,2009年9月,2004年9月,2009年9月,60,60,高い,,中程度,中程度,中程度,123%,100%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_0900819_4_f.pdf,技協,保健・医療,結核対策プロジェクトフェーズ2,結核対策,2
11,11,11.0,11.0,2,アフガニスタン,2019,タック・インターナショナル,西野真理,374百万円,635百万円,,374000000,635000000,,2009年10月,2014年9月,2009年10月,2015年9月,60,72,高い,,中程度,中程度,中程度,170%,120%,高い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_0900819_4_f.pdf,技協,保健・医療,結核対策プロジェクトフェーズ2,結核対策,1
7,7,7.0,7.0,1,アフガニスタン,2019,株式会社タック・インターナショナル,鶴田浩史,"1,500百万円","1,000百万円",不明,1500000000,1000000000,,2010年7月,2015年6月,2010年7月,2013年7月,60,36,高い,,中程度,中程度,高い,66.7%,66.7%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_0900825_4_f.pdf,技協,社会基盤一般,ナンガルハール州帰還民支援プロジェクト,ナンガル,2
2155,2155,2155.0,2155.0,1,アフガニスタン,2019,タック・インターナショナル,西野真理,"2,643百万円","2,424百万円",,2643000000,2424000000,,2010年12月,2012年10月,2011年2月,2013年8月,23,31,高い,,高い,高い,中程度,92%,135%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1060590_4_f.pdf,無償,保健・医療,感染症病院建設計画,感染症病,1
2154,2154,2154.0,2154.0,1,アフガニスタン,2019,株式会社タック・インターナショナル,鶴田浩史,"1,076百万円","1,076百万円",,1076000000,1076000000,,2013年10月,2015年12月,2013年10月,2016年7月,27,34,高い,,高い,高い,中程度,100%,126%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1260590_4_f.pdf,無償,社会基盤一般,ナンガルハール農村インフラ改善計画,ナンガル,1
22,22,22.0,22.0,1,アフガニスタン,2020,アフガニスタン事務所,,500百万円,622百万円,,500000000,622000000,,2004年9月,2009年9月,2004年9月,2009年9月,60,60,高い,,中程度,中程度,中程度,104%,100%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2020_0603841_4_f.pdf,技協,保健・医療,リプロダクティブヘルスプロジェクト,リプロダ,4
23,23,23.0,23.0,2,アフガニスタン,2020,アフガニスタン事務所,,350百万円,260百万円,,350000000,260000000,,2010年5月,2015年5月,2010年5月,2015年5月,60,60,高い,,中程度,中程度,中程度,104%,100%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2020_0603841_4_f.pdf,技協,保健・医療,リプロダクティブヘルスプロジェクト,リプロダ,3
16,16,16.0,16.0,1,アフガニスタン,2020,アフガニスタン事務所,,300百万円,541百万円,,300000000,541000000,,2008年3月,2011年1月,2008年3月,2012年1月,35,47,高い,,高い,高い,低い,180%,128%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2020_0701824_4_f.pdf,技協,道路,道路維持管理システムの構築及び人材育成プロジェクト,道路維持,1
8,8,8.0,8.0,1,アフガニスタン,2020,アフガニスタン事務所,,500百万円,622百万円,,500000000,622000000,,2004年9月,2009年9月,2004年9月,2009年9月,61,61,高い,,中程度,中程度,中程度,104%,100%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2020_0900816_4_f.pdf,技協,保健・医療,リプロダクティブヘルスプロジェクトフェーズ2,リプロダ,2
9,9,9.0,9.0,2,アフガニスタン,2020,アフガニスタン事務所,,350百万円,260百万円,,350000000,260000000,,2010年5月,2015年5月,2010年5月,2015年5月,61,61,高い,,中程度,中程度,中程度,104%,100%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2020_0900816_4_f.pdf,技協,保健・医療,リプロダクティブヘルスプロジェクトフェーズ2,リプロダ,1
6,6,6.0,6.0,1,アフガニスタン,2020,アフガニスタン事務所,,240百万円,313百万円,,240000000,313000000,,2011年8月,2013年1月,2011年8月,2013年8月,18,25,高い,,中程度,中程度,中程度,130%,139%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1000515_4_f.pdf,技協,開発計画一般,農村コミュニティ社会経済活性化プロジェクト,農村コミ,1
2148,2148,2148.0,2148.0,1,アフリカ開発銀行,2015,アイ・シー・ネット株式会社,庄智之/荻本洋子/笹尾隆二郎,"11,500百万円","11,491百万円",,11500000000,11491000000,,2007年2月,2009年3月,2007年2月,2008年10月,26,21,高い,,高い,高い,高い,99.9%,81%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_BAD-P1_4_f.pdf,有償,その他,アフリカの民間セクター開発のための共同イニシアティブの下での民間セクター支援融資,アフリカ,9
2149,2149,2149.0,2149.0,2,アフリカ開発銀行,2015,アイ・シー・ネット株式会社,庄智之/荻本洋子/笹尾隆二郎,"32,100百万円","32,100百万円",,32100000000,32100000000,,2008年9月,2010年10月,2008年9月,2010年3月,26,19,高い,,高い,高い,高い,100%,73%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_BAD-P1_4_f.pdf,有償,その他,アフリカの民間セクター開発のための共同イニシアティブの下での民間セクター支援融資,アフリカ,8
2150,2150,2150.0,2150.0,3,アフリカ開発銀行,2015,アイ・シー・ネット株式会社,庄智之/荻本洋子/笹尾隆二郎,"8,440百万円","8,400百万円",,8440000000,8400000000,,2011年10月,2013年10月,2011年10月,2013年10月,25,25,高い,,高い,高い,高い,99.5%,100%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_BAD-P1_4_f.pdf,有償,その他,アフリカの民間セクター開発のための共同イニシアティブの下での民間セクター支援融資,アフリカ,7
2145,2145,2145.0,2145.0,1,アフリカ開発銀行,2015,アイ・シー・ネット株式会社,庄智之/荻本洋子/笹尾隆二郎,"11,500百万円","11,491百万円",,11500000000,11491000000,,2007年2月,2009年3月,2007年2月,2008年10月,26,21,高い,,高い,高い,高い,99.9%,81%,中程度,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_BAD-P2_4_f.pdf,有償,その他,アフリカの民間セクター開発のための共同イニシアティブの下での民間セクター支援融資（II）,アフリカ,6
